name,robots,docks,containers,piles,success_rate,avg_solve_time,std_solve_time,avg_plan_length,std_plan_length
small_1,1,2,3,2,1.0,0.18471550941467285,0.01056182530544167,3,0.0
small_2,1,3,4,3,1.0,0.20882973670959473,0.0031996420681056808,4,0.0
small_3,2,3,5,3,1.0,0.29894566535949707,0.01970752206095385,4,0.0
medium_1,2,4,6,4,1.0,0.3672038078308105,0.0036906220163829403,5,0.0
medium_2,3,4,8,4,1.0,0.6372228145599366,0.028809353897690192,6,0.0
medium_3,3,5,10,5,1.0,1.0271195411682128,0.02917453324935036,7,0.0
large_1,3,6,12,6,1.0,1.620382022857666,0.01455881705986961,8,0.0
large_2,4,6,15,6,1.0,3.040005397796631,0.022654002649893756,8,0.0
large_3,4,8,18,8,1.0,5.866609573364258,0.047408120744780916,10,0.0
